G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
20200505HHSK0,20200505,SK,HH,B,29,0,0,2,0,0,0,0,1,2,0,0,3
20200505HHSK0,20200505,HH,SK,T,31,3,3,8,3,0,0,0,2,5,1,0,5
20200505LTKT0,20200505,KT,LT,B,30,2,2,5,1,0,1,0,5,8,1,0,6
20200505LTKT0,20200505,LT,KT,T,32,7,7,7,1,0,2,0,4,9,1,1,3
20200505NCSS0,20200505,SS,NC,B,30,0,0,3,0,0,0,0,6,8,0,0,9
20200505NCSS0,20200505,NC,SS,T,33,4,4,7,2,0,3,0,2,9,0,1,4
20200505OBLG0,20200505,LG,OB,B,30,6,8,10,6,1,1,1,6,6,1,0,4
20200505OBLG0,20200505,OB,LG,T,30,2,2,6,1,0,1,0,3,9,1,0,5
20200505WOHT0,20200505,HT,WO,B,32,2,2,6,1,0,0,0,5,7,2,0,8
20200505WOHT0,20200505,WO,HT,T,38,11,11,12,3,0,2,0,6,5,1,1,6
20200506HHSK0,20200506,SK,HH,B,33,5,5,9,3,0,2,3,3,8,0,0,8
20200506HHSK0,20200506,HH,SK,T,31,2,2,5,1,0,1,0,4,5,1,2,6
20200506LTKT0,20200506,KT,LT,B,35,4,4,8,2,0,1,1,2,3,0,2,7
20200506LTKT0,20200506,LT,KT,T,36,8,9,12,2,0,1,1,2,6,0,1,5
20200506NCSS0,20200506,SS,NC,B,32,3,3,5,1,0,3,0,2,11,0,1,4
20200506NCSS0,20200506,NC,SS,T,33,4,4,8,1,0,2,2,7,8,0,0,9
20200506OBLG0,20200506,LG,OB,B,33,2,2,6,0,0,0,1,3,6,1,0,7
20200506OBLG0,20200506,OB,LG,T,35,5,5,12,1,0,1,0,1,3,2,1,5
20200506WOHT0,20200506,HT,WO,B,35,2,2,9,2,0,1,0,1,9,0,1,8
20200506WOHT0,20200506,WO,HT,T,31,2,3,7,1,1,0,1,1,11,0,0,5
20200507HHSK0,20200507,SK,HH,B,39,3,4,15,2,2,0,0,6,8,3,0,14
20200507HHSK0,20200507,HH,SK,T,37,7,8,13,1,0,0,4,5,7,3,0,7
20200507LTKT0,20200507,KT,LT,B,33,2,3,7,2,0,0,0,2,4,0,2,5
20200507LTKT0,20200507,LT,KT,T,40,7,7,14,2,0,1,0,4,3,1,0,11
20200507NCSS0,20200507,SS,NC,B,32,1,2,5,1,0,0,0,6,8,0,1,9
20200507NCSS0,20200507,NC,SS,T,35,7,8,9,2,0,1,0,7,6,0,0,9
20200507OBLG0,20200507,LG,OB,B,30,3,3,7,2,0,0,0,2,7,1,3,4
20200507OBLG0,20200507,OB,LG,T,40,7,9,14,2,0,1,0,1,4,0,0,6
20200507WOHT0,20200507,HT,WO,B,38,8,8,16,2,0,2,0,5,7,2,0,11
20200507WOHT0,20200507,WO,HT,T,34,5,5,9,4,0,1,1,3,6,0,0,6
20200508HHWO0,20200508,WO,HH,B,34,5,5,10,0,1,2,0,4,6,0,0,9
20200508HHWO0,20200508,HH,WO,T,31,3,3,6,0,0,1,0,2,7,1,0,3
20200508HTSS0,20200508,SS,HT,B,30,5,5,6,3,0,1,1,7,6,0,0,8
20200508HTSS0,20200508,HT,SS,T,30,0,0,5,1,0,0,0,6,9,1,1,9
20200508KTOB0,20200508,OB,KT,B,34,3,3,8,3,0,0,0,3,3,0,0,8
20200508KTOB0,20200508,KT,OB,T,47,12,12,22,4,1,1,0,3,7,0,0,12
20200508LGNC0,20200508,NC,LG,B,37,13,13,13,3,1,2,1,7,4,0,0,7
20200508LGNC0,20200508,LG,NC,T,34,5,5,9,3,0,0,0,6,9,0,0,9
20200508SKLT0,20200508,LT,SK,B,39,8,9,13,4,0,4,1,3,10,0,0,6
20200508SKLT0,20200508,SK,LT,T,40,8,8,13,3,1,2,4,2,7,0,0,7
20200509HHWO0,20200509,WO,HH,B,28,3,5,4,0,0,1,2,8,8,0,0,7
20200509HHWO0,20200509,HH,WO,T,33,3,3,10,2,0,1,0,2,4,1,1,6
20200509HTSS0,20200509,SS,HT,B,36,13,14,13,3,1,0,1,10,9,0,0,8
20200509HTSS0,20200509,HT,SS,T,29,2,2,7,2,0,1,0,6,4,4,1,6
20200510HHWO0,20200510,WO,HH,B,31,6,6,8,2,1,0,0,4,6,0,0,5
20200510HHWO0,20200510,HH,WO,T,35,3,3,12,1,0,1,1,1,7,1,1,6
20200510HTSS0,20200510,SS,HT,B,31,3,3,6,2,0,2,0,3,6,1,2,5
20200510HTSS0,20200510,HT,SS,T,42,12,12,15,4,0,2,0,6,7,1,0,10
20200510KTOB0,20200510,OB,KT,B,49,12,13,18,1,0,3,0,6,4,0,0,11
20200510KTOB0,20200510,KT,OB,T,48,12,12,16,2,0,3,0,3,8,0,2,7
20200510LGNC0,20200510,NC,LG,B,38,7,8,12,2,0,1,0,4,6,1,0,8
20200510LGNC0,20200510,LG,NC,T,40,10,10,15,4,0,4,3,5,6,1,1,9
20200510SKLT0,20200510,LT,SK,B,29,4,4,6,0,0,1,0,4,4,1,0,5
20200510SKLT0,20200510,SK,LT,T,29,0,0,3,1,0,0,0,0,12,1,0,2
20200512HTHH0,20200512,HH,HT,B,33,1,1,8,1,0,0,0,2,8,1,0,7
20200512HTHH0,20200512,HT,HH,T,30,2,2,4,1,0,1,1,3,8,0,1,5
20200512KTNC0,20200512,NC,KT,B,39,7,7,12,1,0,3,0,2,10,0,1,7
20200512KTNC0,20200512,KT,NC,T,43,5,6,14,1,0,2,0,3,11,0,0,10
20200512OBLT0,20200512,LT,OB,B,42,6,6,15,3,0,1,1,2,7,0,0,11
20200512OBLT0,20200512,OB,LT,T,41,10,11,20,5,0,2,0,3,3,2,0,6
20200512SKLG0,20200512,LG,SK,B,37,8,9,12,1,1,1,1,2,7,0,0,6
20200512SKLG0,20200512,SK,LG,T,34,5,5,9,3,0,1,0,4,9,1,1,7
20200512SSWO0,20200512,WO,SS,B,30,3,3,7,2,0,1,1,5,4,0,2,7
20200512SSWO0,20200512,SS,WO,T,31,1,2,6,0,0,0,2,0,9,2,1,2
20200513HTHH0,20200513,HH,HT,B,35,3,3,9,2,0,0,2,3,6,1,1,8
20200513HTHH0,20200513,HT,HH,T,33,3,4,8,2,0,0,1,7,12,2,0,9
20200513KTNC0,20200513,NC,KT,B,37,5,5,11,1,0,2,1,6,5,0,1,10
20200513KTNC0,20200513,KT,NC,T,35,4,4,8,0,1,2,0,2,7,0,1,5
20200513OBLT0,20200513,LT,OB,B,35,9,10,12,4,0,1,1,9,5,1,0,10
20200513OBLT0,20200513,OB,LT,T,35,9,9,9,1,0,3,0,7,5,0,2,6
20200513SKLG0,20200513,LG,SK,B,36,13,14,12,6,0,0,0,7,5,0,0,6
20200513SKLG0,20200513,SK,LG,T,34,2,2,10,1,0,0,1,2,8,2,1,7
20200513SSWO0,20200513,WO,SS,B,30,0,0,2,0,0,0,0,2,12,0,2,5
20200513SSWO0,20200513,SS,WO,T,32,4,5,5,1,0,1,1,0,7,0,1,1
20200514HTHH0,20200514,HH,HT,B,32,4,4,8,3,0,0,1,2,13,0,0,6
20200514HTHH0,20200514,HT,HH,T,32,1,1,5,3,0,0,0,0,9,0,0,4
20200514KTNC0,20200514,NC,KT,B,31,1,1,9,3,0,0,2,3,10,1,0,8
20200514KTNC0,20200514,KT,NC,T,31,0,0,6,1,0,0,0,1,11,1,0,5
20200514OBLT0,20200514,LT,OB,B,34,4,4,9,3,0,1,0,3,8,0,1,7
20200514OBLT0,20200514,OB,LT,T,39,6,7,13,5,0,2,2,4,8,0,0,10
20200514SKLG0,20200514,LG,SK,B,32,3,3,11,2,0,1,2,4,12,2,0,8
20200514SKLG0,20200514,SK,LG,T,31,2,2,4,0,0,1,0,3,11,2,1,5
20200514SSWO0,20200514,WO,SS,B,35,5,5,8,3,0,1,0,2,8,0,0,5
20200514SSWO0,20200514,SS,WO,T,34,8,8,14,4,0,1,0,6,4,1,0,6
20200515LTHH0,20200515,HH,LT,B,30,2,2,8,2,1,0,0,3,12,0,0,7
20200515LTHH0,20200515,LT,HH,T,33,1,1,8,1,0,0,0,3,3,1,0,8
20200515NCSK0,20200515,SK,NC,B,30,2,2,2,1,0,1,0,7,6,0,1,6
20200515NCSK0,20200515,NC,SK,T,40,6,6,11,2,0,0,0,7,11,1,1,11
20200515OBHT0,20200515,HT,OB,B,36,2,4,8,1,0,0,0,4,3,0,3,9
20200515OBHT0,20200515,OB,HT,T,43,11,13,18,3,0,3,0,4,5,4,4,7
20200515SSKT0,20200515,KT,SS,B,41,13,14,16,5,2,3,1,4,3,0,1,6
20200515SSKT0,20200515,SS,KT,T,39,6,6,12,2,0,0,0,1,5,0,1,8
20200516LTHH0,20200516,HH,LT,B,36,0,1,10,2,0,0,1,1,6,0,1,9
20200516LTHH0,20200516,LT,HH,T,36,4,5,11,4,0,0,1,6,6,2,0,10
20200516NCSK0,20200516,SK,NC,B,31,1,1,6,1,0,1,0,2,7,2,0,5
20200516NCSK0,20200516,NC,SK,T,29,2,2,5,1,0,0,1,4,8,2,0,5
20200516OBHT0,20200516,HT,OB,B,38,13,13,16,6,0,2,0,5,3,1,0,7
20200516OBHT0,20200516,OB,HT,T,35,4,4,9,2,1,1,0,3,10,1,0,7
20200516SSKT0,20200516,KT,SS,B,35,10,10,16,3,1,0,3,6,2,2,1,9
20200516SSKT0,20200516,SS,KT,T,34,4,4,8,1,0,0,1,3,7,2,2,6
20200516WOLG1,20200516,LG,WO,B,25,3,3,4,1,0,1,0,5,5,1,0,3
20200516WOLG1,20200516,WO,LG,T,33,1,1,6,1,0,0,1,4,7,0,1,9
20200516WOLG2,20200516,LG,WO,B,32,5,5,10,1,0,1,1,5,9,0,0,9
20200516WOLG2,20200516,WO,LG,T,32,2,3,9,1,0,0,0,5,5,3,0,7
20200517LTHH0,20200517,HH,LT,B,35,4,5,6,0,0,0,0,7,3,1,0,8
20200517LTHH0,20200517,LT,HH,T,39,4,4,7,0,0,3,2,4,12,1,1,6
20200517NCSK0,20200517,SK,NC,B,39,5,5,12,1,0,0,0,4,8,1,0,11
20200517NCSK0,20200517,NC,SK,T,36,11,11,12,3,0,4,0,9,6,1,1,9
20200517OBHT0,20200517,HT,OB,B,35,3,4,8,2,0,1,0,3,10,1,1,8
20200517OBHT0,20200517,OB,HT,T,40,6,6,15,4,0,0,2,1,11,2,1,8
20200517SSKT0,20200517,KT,SS,B,31,7,9,9,2,0,1,0,7,4,0,1,7
20200517SSKT0,20200517,SS,KT,T,33,2,2,7,1,0,0,1,1,5,1,1,5
20200517WOLG0,20200517,LG,WO,B,32,4,4,8,2,0,0,0,2,5,2,0,4
20200517WOLG0,20200517,WO,LG,T,43,9,9,17,6,0,3,0,3,9,0,0,11
20200519HHKT0,20200519,KT,HH,B,40,12,13,18,4,1,2,0,6,7,1,0,9
20200519HHKT0,20200519,HH,KT,T,38,11,11,11,2,0,2,0,6,10,0,1,6
20200519LGSS0,20200519,SS,LG,B,35,6,6,11,2,0,2,0,2,6,2,0,5
20200519LGSS0,20200519,LG,SS,T,37,10,10,12,1,0,3,0,5,5,2,0,5
20200519LTHT0,20200519,HT,LT,B,37,9,9,16,0,0,3,2,6,6,1,1,11
20200519LTHT0,20200519,LT,HT,T,32,2,2,6,1,0,0,0,4,12,0,0,8
20200519NCOB0,20200519,OB,NC,B,36,4,4,10,2,0,0,0,9,8,0,2,15
20200519NCOB0,20200519,NC,OB,T,39,5,5,12,1,0,0,1,7,7,0,0,15
20200519SKWO0,20200519,WO,SK,B,38,10,11,14,3,0,1,1,7,7,2,2,10
20200519SKWO0,20200519,SK,WO,T,33,6,6,6,1,0,1,0,5,9,1,2,5
20200520HHKT0,20200520,KT,HH,B,38,8,8,17,4,1,0,2,2,6,0,1,11
20200520HHKT0,20200520,HH,KT,T,32,1,1,7,1,0,0,0,5,5,2,0,9
20200520LGSS0,20200520,SS,LG,B,26,3,3,5,1,0,0,3,1,7,1,0,2
20200520LGSS0,20200520,LG,SS,T,32,1,1,6,0,0,1,0,4,6,1,1,8
20200520LTHT0,20200520,HT,LT,B,33,6,6,9,3,0,2,0,4,8,0,0,7
20200520LTHT0,20200520,LT,HT,T,28,0,0,3,0,0,0,1,4,10,1,0,5
20200520NCOB0,20200520,OB,NC,B,33,2,2,3,1,0,0,0,5,9,0,1,5
20200520NCOB0,20200520,NC,OB,T,36,1,1,5,1,0,1,1,3,14,0,0,5
20200520SKWO0,20200520,WO,SK,B,34,2,3,7,1,0,1,5,4,8,0,1,8
20200520SKWO0,20200520,SK,WO,T,38,5,5,10,0,0,1,0,2,9,0,0,8
20200521HHKT0,20200521,KT,HH,B,34,4,4,10,4,0,1,1,6,7,1,0,11
20200521HHKT0,20200521,HH,KT,T,37,9,9,12,1,0,1,2,4,9,2,0,5
20200521LGSS0,20200521,SS,LG,B,27,0,0,2,0,0,0,0,5,4,2,1,5
20200521LGSS0,20200521,LG,SS,T,33,2,2,6,1,0,1,1,2,8,0,1,6
20200521LTHT0,20200521,HT,LT,B,32,5,6,9,1,0,0,1,5,5,0,0,7
20200521LTHT0,20200521,LT,HT,T,31,1,1,7,1,0,0,0,0,5,3,0,3
20200521NCOB0,20200521,OB,NC,B,35,5,6,11,0,1,0,0,4,2,1,0,7
20200521NCOB0,20200521,NC,OB,T,44,12,12,19,3,0,2,1,4,4,1,1,9
20200521SKWO0,20200521,WO,SK,B,40,9,9,13,5,0,0,2,4,11,1,1,8
20200521SKWO0,20200521,SK,WO,T,37,7,8,12,1,1,1,0,4,7,1,1,6
20200522HHNC0,20200522,NC,HH,B,29,3,3,6,0,0,1,0,3,10,2,1,3
20200522HHNC0,20200522,HH,NC,T,34,5,5,8,2,0,3,1,1,6,0,0,3
20200522HTSK0,20200522,SK,HT,B,32,1,1,6,1,0,0,1,1,8,1,0,5
20200522HTSK0,20200522,HT,SK,T,33,2,2,8,1,0,0,1,5,6,0,2,10
20200522KTLG0,20200522,LG,KT,B,35,6,6,10,2,0,1,0,4,5,0,1,7
20200522KTLG0,20200522,KT,LG,T,35,5,5,9,1,0,0,2,5,7,1,0,9
20200522OBSS0,20200522,SS,OB,B,35,7,7,12,1,0,1,0,4,4,1,0,8
20200522OBSS0,20200522,OB,SS,T,37,11,12,15,2,0,1,0,10,6,2,0,11
20200522WOLT0,20200522,LT,WO,B,36,8,9,12,4,0,0,1,7,6,0,0,11
20200522WOLT0,20200522,WO,LT,T,29,6,7,6,2,0,1,0,8,10,1,2,5
20200523HHNC0,20200523,NC,HH,B,32,3,3,10,1,0,0,3,4,9,0,0,9
20200523HHNC0,20200523,HH,NC,T,30,0,0,6,2,0,0,1,1,9,1,0,4
20200523HTSK0,20200523,SK,HT,B,32,3,3,9,1,0,1,0,4,8,2,0,6
20200523HTSK0,20200523,HT,SK,T,34,8,8,9,2,0,1,0,6,9,0,0,7
20200523KTLG0,20200523,LG,KT,B,32,2,2,7,0,0,0,1,8,3,2,1,11
20200523KTLG0,20200523,KT,LG,T,36,6,6,10,0,1,2,0,1,5,0,0,5
20200523OBSS0,20200523,SS,OB,B,37,6,6,10,4,0,4,0,3,5,0,0,8
20200523OBSS0,20200523,OB,SS,T,37,10,10,13,3,0,3,0,6,9,0,1,8
20200523WOLT0,20200523,LT,WO,B,35,3,4,8,4,0,0,0,4,6,0,1,9
20200523WOLT0,20200523,WO,LT,T,43,12,12,15,4,0,4,0,3,12,0,1,7
20200524HHNC0,20200524,NC,HH,B,35,10,10,13,2,0,1,1,6,10,0,0,10
20200524HHNC0,20200524,HH,NC,T,33,5,5,7,2,0,1,0,5,6,0,0,7
20200524HTSK0,20200524,SK,HT,B,41,2,4,8,0,1,0,0,4,4,2,2,7
20200524HTSK0,20200524,HT,SK,T,50,3,3,15,2,0,0,0,3,6,1,1,14
20200524KTLG0,20200524,LG,KT,B,33,9,9,10,1,0,1,2,7,5,1,2,6
20200524KTLG0,20200524,KT,LG,T,37,6,7,10,2,0,0,1,3,10,0,0,8
20200524OBSS0,20200524,SS,OB,B,34,12,13,15,6,0,0,1,8,8,0,0,8
20200524OBSS0,20200524,OB,SS,T,35,0,0,11,1,0,0,0,1,8,3,0,9
20200524WOLT0,20200524,LT,WO,B,33,2,2,9,3,0,0,2,1,3,0,0,8
20200524WOLT0,20200524,WO,LT,T,29,0,0,4,0,0,0,1,5,5,2,0,7
20200526HTKT0,20200526,KT,HT,B,31,0,1,4,0,0,0,1,2,14,1,1,5
20200526HTKT0,20200526,HT,KT,T,35,4,4,12,1,0,0,0,7,5,1,2,13
20200526LGHH0,20200526,HH,LG,B,28,0,0,3,0,0,0,0,2,3,2,1,3
20200526LGHH0,20200526,LG,HH,T,35,3,3,9,0,1,2,0,3,10,2,0,8
20200526SKOB0,20200526,OB,SK,B,26,5,6,4,1,1,0,0,3,9,0,0,2
20200526SKOB0,20200526,SK,OB,T,32,3,4,7,0,0,0,0,5,7,1,2,6
20200526SSLT0,20200526,LT,SS,B,30,1,1,6,2,0,0,0,3,6,0,1,8
20200526SSLT0,20200526,SS,LT,T,29,0,0,4,1,0,0,3,4,9,1,0,6
20200526WONC0,20200526,NC,WO,B,28,7,7,8,4,0,1,1,4,4,1,0,4
20200526WONC0,20200526,WO,NC,T,32,2,2,5,0,0,0,0,6,8,0,0,9
20200527HTKT0,20200527,KT,HT,B,30,5,5,9,3,1,0,0,2,6,1,0,5
20200527HTKT0,20200527,HT,KT,T,31,0,0,5,0,0,0,0,4,8,1,0,8
20200527LGHH0,20200527,HH,LG,B,34,4,4,10,2,0,2,1,1,9,2,1,5
20200527LGHH0,20200527,LG,HH,T,46,15,15,19,4,1,5,1,4,6,0,1,8
20200527SKOB0,20200527,OB,SK,B,31,4,4,7,1,0,0,1,2,3,0,0,6
20200527SKOB0,20200527,SK,OB,T,31,2,2,6,1,1,0,0,5,6,0,2,8
20200527SSLT0,20200527,LT,SS,B,33,0,1,5,0,0,0,0,1,7,0,1,6
20200527SSLT0,20200527,SS,LT,T,34,11,11,11,4,0,2,0,14,5,0,1,13
20200527WONC0,20200527,NC,WO,B,35,8,10,13,0,0,3,0,5,5,2,0,6
20200527WONC0,20200527,WO,NC,T,36,2,3,11,1,0,1,0,4,9,2,2,10
20200528HTKT0,20200528,KT,HT,B,36,6,6,12,1,0,0,0,3,6,0,1,9
20200528HTKT0,20200528,HT,KT,T,33,5,5,9,1,0,2,1,4,6,2,0,6
20200528LGHH0,20200528,HH,LG,B,31,0,0,5,1,0,0,0,3,13,2,1,7
20200528LGHH0,20200528,LG,HH,T,37,3,3,13,3,0,0,0,0,4,1,1,8
20200528SKOB0,20200528,OB,SK,B,27,1,1,3,1,1,0,0,3,5,3,1,2
20200528SKOB0,20200528,SK,OB,T,38,6,6,11,3,0,1,1,4,4,0,0,8
20200528SSLT0,20200528,LT,SS,B,32,1,1,5,2,0,0,1,7,6,0,0,11
20200528SSLT0,20200528,SS,LT,T,34,3,3,7,4,0,0,2,3,9,0,0,7
20200528WONC0,20200528,NC,WO,B,37,9,9,13,1,1,4,0,1,6,0,0,5
20200528WONC0,20200528,WO,NC,T,40,5,6,15,1,0,2,0,3,4,2,0,10
20200529HHSK0,20200529,SK,HH,B,34,8,8,11,0,0,3,1,3,8,0,3,6
20200529HHSK0,20200529,HH,SK,T,37,6,6,13,3,0,1,1,4,6,1,1,8
20200529KTWO0,20200529,WO,KT,B,31,4,5,7,1,0,0,0,8,4,0,1,11
20200529KTWO0,20200529,KT,WO,T,35,1,1,8,1,0,0,0,1,12,1,2,8
20200529LGHT0,20200529,HT,LG,B,34,2,2,7,1,0,2,0,2,5,0,0,7
20200529LGHT0,20200529,LG,HT,T,33,6,6,10,1,0,2,0,4,5,1,0,4
20200529LTOB0,20200529,OB,LT,B,28,4,4,5,1,0,1,1,3,6,0,0,4
20200529LTOB0,20200529,LT,OB,T,34,2,2,10,1,0,0,1,4,7,3,0,9
20200529NCSS0,20200529,SS,NC,B,35,4,5,9,0,0,0,0,0,7,0,0,5
20200529NCSS0,20200529,NC,SS,T,33,4,4,8,0,0,1,0,2,3,0,1,4
20200530HHSK0,20200530,SK,HH,B,31,8,9,8,2,0,1,1,13,10,1,2,10
20200530HHSK0,20200530,HH,SK,T,28,3,3,2,0,0,1,0,7,9,2,1,6
20200530KTWO0,20200530,WO,KT,B,39,13,14,16,2,1,2,0,8,5,0,0,10
20200530KTWO0,20200530,KT,WO,T,31,3,3,7,0,0,2,0,1,6,2,1,3
20200530LGHT0,20200530,HT,LG,B,37,10,10,14,2,0,1,1,4,4,0,1,9
20200530LGHT0,20200530,LG,HT,T,32,4,6,6,2,0,1,0,6,10,1,1,5
20200530LTOB0,20200530,OB,LT,B,37,5,5,11,1,0,1,1,6,4,3,0,7
20200530LTOB0,20200530,LT,OB,T,42,4,4,11,2,0,0,0,4,3,2,0,9
20200530NCSS0,20200530,SS,NC,B,33,9,9,12,2,0,3,0,7,5,1,0,7
20200530NCSS0,20200530,NC,SS,T,30,1,1,4,1,0,0,0,4,4,1,0,6
20200531HHSK0,20200531,SK,HH,B,30,6,6,10,2,1,1,3,9,5,2,1,10
20200531HHSK0,20200531,HH,SK,T,32,3,4,5,0,0,1,1,4,5,0,0,5
20200531KTWO0,20200531,WO,KT,B,38,8,8,10,2,0,1,1,5,7,1,0,9
20200531KTWO0,20200531,KT,WO,T,40,12,12,14,1,0,4,2,9,9,0,3,10
20200531LGHT0,20200531,HT,LG,B,38,5,5,11,3,0,2,2,1,5,0,0,7
20200531LGHT0,20200531,LG,HT,T,44,13,13,20,5,2,0,2,3,7,1,0,8
20200531LTOB0,20200531,OB,LT,B,41,3,3,11,1,0,0,0,3,8,2,2,9
20200531LTOB0,20200531,LT,OB,T,40,6,8,8,1,0,0,1,11,7,1,1,12
20200531NCSS0,20200531,SS,NC,B,35,6,7,10,0,0,2,0,2,6,2,3,4
20200531NCSS0,20200531,NC,SS,T,48,16,18,21,6,0,3,0,4,7,0,1,8
20200602LTHT0,20200602,HT,LT,B,35,7,7,12,1,0,2,0,3,5,1,0,7
