G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
20200816HTSK0,20200816,HT,SK,B,W,27,179,34,7,2,0,0,0,7,13,0,5,5
20200818HTLG0,20200818,HT,LG,T,L,27,170,37,12,1,0,2,1,2,13,2,6,5
20200819HTLG0,20200819,HT,LG,T,L,24,195,34,12,2,2,1,1,10,3,2,10,9
20200820HTNC0,20200820,HT,NC,B,L,27,170,45,21,3,0,1,3,3,6,0,14,14
20200821HTNC0,20200821,HT,NC,B,L,27,149,38,10,5,0,1,0,4,10,0,10,6
20200822HTWO0,20200822,HT,WO,T,L,24,144,32,10,1,0,1,1,5,6,2,4,4
20200823HTWO0,20200823,HT,WO,T,W,27,163,37,13,2,1,0,1,3,9,1,7,7
20200825HTOB0,20200825,HT,OB,T,L,24,174,37,15,1,0,3,0,5,2,1,10,8
20200826HTOB0,20200826,HT,OB,T,W,27,172,35,11,1,0,1,0,6,8,1,5,4
20200827HTSK0,20200827,HT,SK,T,L,24,140,36,14,4,0,2,1,3,6,0,10,5
20200828HTSK0,20200828,HT,SK,T,W,27,180,33,11,2,2,1,0,9,10,2,8,7
20200830HTKT1,20200830,HT,KT,B,W,27,162,37,10,1,1,1,1,3,10,0,5,4
20200830HTKT0,20200830,HT,KT,B,L,27,177,34,7,2,0,1,0,11,7,0,8,7
20200901HTSS0,20200901,HT,SS,B,W,27,121,30,4,0,0,0,0,1,5,2,0,0
20200903HTLT0,20200903,HT,LT,T,W,27,129,30,5,2,0,0,1,3,6,1,3,3
20200904HTLT0,20200904,HT,LT,T,W,27,158,29,5,0,0,0,0,6,10,2,3,3
20200904HTLT1,20200904,HT,LT,T,L,24,146,34,14,0,0,2,1,3,4,3,9,9
20200905HTHH0,20200905,HT,HH,T,W,27,141,33,8,2,0,1,0,3,11,1,4,4
20200906HTHH0,20200906,HT,HH,T,W,27,148,36,10,1,0,2,0,0,13,0,4,4
20200908HTLG0,20200908,HT,LG,B,W,27,160,35,11,3,1,0,0,8,3,2,2,2
20200910HTOB0,20200910,HT,OB,B,L,27,174,36,9,0,0,0,2,6,9,0,5,5
20200912HTNC0,20200912,HT,NC,T,W,27,155,32,6,1,0,1,1,3,7,0,3,3
20200913HTNC0,20200913,HT,NC,T,W,27,156,32,8,0,0,0,3,6,6,0,3,3
20200915HTSK0,20200915,HT,SK,B,L,27,190,40,17,1,0,2,3,10,5,3,16,15
20200916HTSK0,20200916,HT,SK,B,L,27,193,37,11,4,0,0,0,8,5,1,7,5
20200917HTSS0,20200917,HT,SS,T,W,27,153,33,7,0,0,0,0,3,11,0,2,2
20200918HTSS0,20200918,HT,SS,T,W,27,155,35,9,2,0,0,0,4,9,1,5,3
20200919HTHH0,20200919,HT,HH,B,W,27,108,31,5,0,0,0,0,0,11,0,0,0
20200920HTHH0,20200920,HT,HH,B,L,27,217,40,16,4,0,1,0,8,10,0,11,11
20200922HTWO0,20200922,HT,WO,B,L,27,131,32,5,1,0,0,0,3,3,0,2,1
20200923HTWO0,20200923,HT,WO,B,L,27,159,42,17,3,2,2,0,5,6,1,13,13
20200721KTLG0,20200721,KT,LG,B,W,27,168,38,13,4,0,2,0,6,7,1,9,9
20200724KTNC0,20200724,KT,NC,B,L,27,152,32,7,2,0,1,1,3,11,0,3,3
20200725KTNC0,20200725,KT,NC,B,W,27,150,31,6,0,0,0,0,4,3,0,2,2
20200726KTNC0,20200726,KT,NC,B,W,27,123,32,7,1,0,2,1,1,7,1,4,4
20200730KTHT0,20200730,KT,HT,T,W,27,136,33,8,3,0,0,0,2,8,1,1,1
20200731KTSK0,20200731,KT,SK,B,W,27,148,31,4,0,0,1,0,5,5,1,1,1
20200801KTSK0,20200801,KT,SK,B,W,27,135,32,6,1,0,0,0,2,5,1,0,0
20200804KTWO0,20200804,KT,WO,T,W,27,154,34,10,0,0,1,0,3,7,2,2,2
20200805KTWO0,20200805,KT,WO,T,L,24,183,40,15,2,0,1,0,6,7,0,12,7
20200806KTWO0,20200806,KT,WO,T,L,24,139,28,7,2,0,1,1,5,4,1,3,3
20200809KTHH0,20200809,KT,HH,T,W,27,170,34,8,1,0,1,0,3,12,1,3,2
20200811KTSK0,20200811,KT,SK,B,W,27,139,30,4,0,0,0,0,4,8,2,1,0
20200812KTSK0,20200812,KT,SK,B,L,27,177,36,12,3,0,1,1,10,5,1,11,11
20200813KTSK0,20200813,KT,SK,B,L,27,154,41,16,1,0,1,0,4,5,0,10,9
20200814KTOB0,20200814,KT,OB,T,W,36,213,45,10,0,0,2,2,8,9,1,3,3
20200815KTOB0,20200815,KT,OB,T,L,27,145,38,13,1,0,1,3,3,3,1,7,4
20200816KTOB0,20200816,KT,OB,T,W,27,140,28,3,1,0,0,1,7,6,2,1,1
20200818KTSS0,20200818,KT,SS,T,W,27,138,32,6,3,0,0,0,4,6,1,3,2
20200819KTSS0,20200819,KT,SS,T,W,27,122,34,11,0,0,0,0,2,7,3,4,4
20200820KTHH0,20200820,KT,HH,T,W,27,130,29,2,0,0,0,0,5,9,0,0,0
20200821KTHH0,20200821,KT,HH,T,L,24,136,35,11,2,0,1,0,2,6,1,5,5
20200823KTNC0,20200823,KT,NC,B,W,27,150,35,9,2,0,0,0,5,7,1,1,1
20200824KTNC0,20200824,KT,NC,B,W,27,139,34,8,0,0,0,1,3,4,1,1,1
20200825KTWO0,20200825,KT,WO,B,L,27,167,36,10,0,0,0,2,7,6,0,4,3
20200826KTWO0,20200826,KT,WO,B,W,30,153,36,8,0,1,2,1,3,6,1,5,5
20200827KTLG0,20200827,KT,LG,T,L,24,122,29,6,0,1,0,1,2,7,1,2,1
20200828KTLG0,20200828,KT,LG,T,L,33,177,40,12,3,0,0,0,5,6,2,6,6
20200830KTHT0,20200830,KT,HT,T,W,27,149,33,10,1,0,0,0,4,8,1,5,5
20200830KTHT1,20200830,KT,HT,T,L,24,126,34,10,2,0,1,1,4,1,1,7,4
20200901KTLT0,20200901,KT,LT,B,W,27,153,29,6,1,0,0,0,6,3,2,2,2
20200903KTSK0,20200903,KT,SK,B,W,27,126,32,8,1,0,0,1,5,2,2,2,2
20200904KTSK0,20200904,KT,SK,B,W,27,121,32,5,0,0,1,0,3,6,0,2,2
20200904KTSK1,20200904,KT,SK,B,W,27,119,34,10,2,0,2,0,0,6,0,5,5
20200905KTWO0,20200905,KT,WO,T,W,27,120,32,5,1,0,0,0,0,7,0,1,1
20200906KTWO0,20200906,KT,WO,T,W,27,167,34,9,2,0,2,0,4,10,1,7,7
20200908KTOB0,20200908,KT,OB,T,L,24,132,36,12,7,0,1,0,3,5,0,8,8
20200909KTOB0,20200909,KT,OB,T,W,33,161,41,10,2,0,0,1,3,6,0,2,2
20200910KTNC0,20200910,KT,NC,T,L,24,176,36,13,3,0,3,0,9,4,0,13,12
20200911KTNC0,20200911,KT,NC,T,L,24,154,37,13,4,0,3,2,3,7,0,9,9
20200912KTHH0,20200912,KT,HH,B,W,27,126,35,7,0,0,0,1,1,10,0,2,2
20200913KTHH0,20200913,KT,HH,B,W,27,167,30,6,1,0,0,2,7,6,0,4,3
20200915KTSS0,20200915,KT,SS,B,L,27,137,37,14,1,0,1,0,4,1,2,7,6
20200916KTSS0,20200916,KT,SS,B,W,27,171,39,14,1,0,0,0,6,4,1,6,6
20200917KTOB0,20200917,KT,OB,B,W,27,105,33,6,0,0,0,0,0,5,2,0,0
20200918KTOB0,20200918,KT,OB,B,W,33,159,41,11,1,0,1,0,2,4,1,4,3
20200919KTSK0,20200919,KT,SK,T,W,27,138,30,3,0,0,0,0,4,6,1,0,0
20200920KTSK0,20200920,KT,SK,T,W,27,141,28,3,1,0,0,0,3,4,3,2,1
20200922KTLT0,20200922,KT,LT,T,L,24,130,31,10,0,0,2,1,5,5,2,8,8
20200923KTLT0,20200923,KT,LT,T,W,27,170,33,9,1,0,1,0,8,7,3,5,5
20200721LGKT0,20200721,LG,KT,T,L,24,150,34,12,0,0,3,1,4,7,1,10,10
20200724LGOB0,20200724,LG,OB,T,W,27,134,31,8,3,0,0,1,4,4,2,1,1
20200725LGOB0,20200725,LG,OB,T,L,24,149,31,10,4,0,1,0,2,6,0,7,7
20200726LGOB0,20200726,LG,OB,T,W,27,163,32,8,2,0,1,0,7,5,1,3,3
20200728LGSK0,20200728,LG,SK,T,W,27,166,34,8,3,0,2,0,7,10,1,7,7
20200729LGSK0,20200729,LG,SK,T,W,27,146,40,14,1,0,4,2,4,5,0,6,6
20200730LGSK0,20200730,LG,SK,T,W,27,138,30,4,3,0,0,0,4,8,0,1,1
20200731LGHH0,20200731,LG,HH,B,L,27,137,34,10,1,0,0,0,2,4,0,2,2
20200801LGHH0,20200801,LG,HH,B,W,27,167,34,8,2,0,1,1,6,8,0,6,6
20200804LGHT0,20200804,LG,HT,T,W,27,146,36,8,1,0,1,0,4,10,0,5,3
20200805LGHT0,20200805,LG,HT,T,W,27,151,35,9,1,0,0,1,2,11,0,4,4
20200806LGHT0,20200806,LG,HT,T,L,24,177,35,12,3,0,4,2,7,8,1,13,13
20200807LGWO0,20200807,LG,WO,T,W,27,140,32,6,2,0,0,0,5,8,0,2,2
20200808LGWO0,20200808,LG,WO,T,L,24,132,32,9,1,0,1,1,3,7,1,5,5
20200809LGWO0,20200809,LG,WO,T,L,24,130,28,7,0,0,0,2,4,6,2,2,1
20200811LGHT0,20200811,LG,HT,B,L,27,172,35,11,3,0,0,0,7,3,1,8,8
20200812LGHT0,20200812,LG,HT,B,W,27,166,29,2,0,0,0,0,6,14,0,0,0
20200813LGHT0,20200813,LG,HT,B,W,27,124,32,5,1,0,1,1,1,8,0,2,1
20200814LGNC0,20200814,LG,NC,T,W,27,151,36,8,3,0,0,1,4,13,0,4,4
20200815LGNC0,20200815,LG,NC,T,W,27,149,34,10,0,0,2,0,3,13,1,4,4
20200816LGNC0,20200816,LG,NC,T,W,27,149,34,9,5,0,0,0,3,6,2,5,5
20200818LGHT0,20200818,LG,HT,B,W,30,178,40,11,2,0,0,0,5,8,0,5,5
20200819LGHT0,20200819,LG,HT,B,W,27,152,34,8,0,0,0,0,2,9,1,1,1
20200820LGWO0,20200820,LG,WO,T,L,24,149,31,8,2,0,0,2,7,6,1,6,6
20200821LGWO0,20200821,LG,WO,T,W,27,130,33,6,0,0,1,1,3,6,0,3,3
20200823LGHH0,20200823,LG,HH,B,L,27,132,31,6,1,0,1,0,4,6,0,4,2
20200824LGHH0,20200824,LG,HH,B,L,27,177,38,14,1,2,0,0,3,7,0,6,5
20200825LGSS0,20200825,LG,SS,T,L,24,114,31,7,1,0,2,0,0,4,0,4,4
20200826LGSS0,20200826,LG,SS,T,W,27,139,35,9,0,0,1,0,2,6,1,5,5
20200827LGKT0,20200827,LG,KT,B,W,27,142,29,2,1,0,0,0,6,5,0,0,0
20200828LGKT0,20200828,LG,KT,B,W,33,164,36,5,1,0,2,1,4,13,1,5,5
20200829LGOB0,20200829,LG,OB,B,D,27,140,35,11,3,0,1,2,3,3,0,5,5
20200830LGOB0,20200830,LG,OB,B,W,27,126,31,7,1,0,0,0,1,5,2,1,1
20200901LGSK0,20200901,LG,SK,T,W,27,166,35,10,0,0,0,1,6,8,1,5,5
20200903LGNC0,20200903,LG,NC,B,W,27,161,40,16,2,0,0,3,3,11,2,5,5
20200904LGNC0,20200904,LG,NC,B,D,36,235,46,13,1,0,0,3,7,15,0,5,5
20200906LGLT0,20200906,LG,LT,T,W,27,121,29,3,1,0,0,0,4,4,1,1,1
20200907LGLT0,20200907,LG,LT,T,L,24,172,39,16,6,0,2,0,6,4,1,12,12
20200908LGHT0,20200908,LG,HT,T,L,24,124,31,7,4,0,0,0,3,5,1,3,1
20200910LGWO0,20200910,LG,WO,B,W,27,136,32,6,1,0,1,0,3,7,0,1,1
20200911LGWO0,20200911,LG,WO,B,L,27,130,38,13,3,1,0,1,2,4,1,8,8
20200912LGSS0,20200912,LG,SS,B,L,27,151,32,7,0,1,2,1,4,8,1,5,5
20200913LGSS0,20200913,LG,SS,B,L,27,191,42,18,1,1,1,2,5,5,0,11,9
20200915LGHH0,20200915,LG,HH,T,L,30,161,38,11,1,0,0,0,7,10,2,6,6
20200916LGHH0,20200916,LG,HH,T,W,27,148,35,9,0,1,2,0,4,11,1,5,5
20200917LGLT0,20200917,LG,LT,B,W,27,127,34,8,2,0,0,0,0,5,2,1,1
20200918LGLT0,20200918,LG,LT,B,L,27,149,36,8,1,0,0,3,4,8,1,5,3
20200919LGOB0,20200919,LG,OB,T,W,27,164,36,10,2,0,2,0,3,8,1,6,6
20200920LGOB0,20200920,LG,OB,T,L,27,191,31,9,1,0,1,1,14,6,3,6,6
20200922LGSK0,20200922,LG,SK,B,W,27,141,31,3,0,0,1,1,1,9,0,2,2
20200923LGSK0,20200923,LG,SK,B,W,27,138,33,8,3,0,0,0,1,10,0,2,1
20200721LTSK0,20200721,LT,SK,T,L,24,166,34,13,1,0,3,2,4,6,1,8,8
20200724LTWO0,20200724,LT,WO,T,W,27,142,31,6,2,0,1,1,2,12,1,2,2
20200725LTWO0,20200725,LT,WO,T,W,27,145,27,3,1,0,0,0,7,8,1,3,3
20200726LTWO0,20200726,LT,WO,T,L,24,150,35,13,4,0,0,0,5,5,1,8,8
20200728LTNC0,20200728,LT,NC,B,W,27,185,42,17,3,0,2,2,4,7,1,9,8
20200731LTHT0,20200731,LT,HT,B,L,27,160,34,8,1,0,0,0,4,10,1,3,2
20200801LTHT0,20200801,LT,HT,B,W,27,147,34,9,2,0,1,0,2,9,1,3,3
20200802LTHT0,20200802,LT,HT,B,W,27,124,30,4,2,0,0,0,2,10,1,0,0
20200804LTSK0,20200804,LT,SK,T,W,27,120,31,6,1,0,0,0,2,6,1,0,0
20200806LTSK0,20200806,LT,SK,T,W,27,113,33,8,1,0,1,0,1,8,1,2,2
20200807LTOB0,20200807,LT,OB,T,W,27,117,35,11,1,0,0,2,1,2,1,4,4
20200808LTOB0,20200808,LT,OB,T,D,15,52,16,3,0,0,1,0,0,0,2,1,1
20200812LTNC0,20200812,LT,NC,B,W,27,157,35,9,1,0,0,0,5,8,0,4,4
20200813LTNC0,20200813,LT,NC,B,L,27,178,39,14,1,0,1,0,4,7,1,9,9
20200814LTWO0,20200814,LT,WO,B,W,27,141,32,5,2,0,0,0,3,7,1,1,0
20200815LTWO0,20200815,LT,WO,B,L,27,128,34,9,4,0,0,0,2,4,1,3,3
20200816LTWO0,20200816,LT,WO,B,L,27,155,35,9,5,0,1,1,5,4,0,6,6
20200818LTOB0,20200818,LT,OB,B,L,27,200,43,16,2,0,0,1,5,10,0,9,8
20200819LTOB0,20200819,LT,OB,B,W,27,137,28,6,0,0,1,0,5,6,3,3,3
20200820LTOB0,20200820,LT,OB,T,W,27,169,40,14,4,0,0,0,3,10,1,5,5
20200821LTOB0,20200821,LT,OB,T,L,27,151,31,5,0,0,0,0,4,6,0,1,1
20200822LTSS0,20200822,LT,SS,T,W,27,157,35,10,1,0,0,3,2,5,1,3,2
20200823LTSS0,20200823,LT,SS,T,W,27,149,31,4,0,0,0,0,4,7,0,0,0
20200825LTSK0,20200825,LT,SK,B,L,27,173,37,11,3,0,2,1,9,3,1,10,10
20200826LTSK0,20200826,LT,SK,B,W,27,131,29,4,0,0,1,1,2,7,2,1,1
20200827LTWO0,20200827,LT,WO,B,L,27,152,40,15,5,0,3,2,4,2,2,11,9
20200828LTWO0,20200828,LT,WO,B,L,27,196,36,11,3,0,2,5,7,7,0,8,7
20200829LTHH0,20200829,LT,HH,B,W,27,166,38,11,0,1,2,0,2,13,0,7,7
20200830LTHH0,20200830,LT,HH,B,W,27,127,33,6,1,0,0,1,2,6,0,2,2
20200901LTKT0,20200901,LT,KT,T,L,24,163,37,14,2,0,2,2,3,7,1,11,8
20200903LTHT0,20200903,LT,HT,B,L,27,133,36,10,1,0,2,0,1,7,0,4,4
20200904LTHT0,20200904,LT,HT,B,L,27,152,34,8,3,0,1,0,4,7,1,6,5
20200904LTHT1,20200904,LT,HT,B,W,27,166,37,10,2,0,1,1,3,11,1,7,7
20200906LTLG0,20200906,LT,LG,B,L,27,163,42,14,4,0,2,0,1,8,0,7,5
20200907LTLG0,20200907,LT,LG,B,W,27,181,40,16,2,0,1,0,3,9,2,6,5
20200908LTNC0,20200908,LT,NC,T,L,24,168,42,17,5,0,0,0,4,6,0,14,10
20200909LTNC0,20200909,LT,NC,T,W,30,194,42,11,4,1,1,1,5,9,1,5,5
20200910LTSS0,20200910,LT,SS,B,W,27,147,37,10,5,0,0,0,3,6,0,8,8
20200911LTSS0,20200911,LT,SS,B,W,27,162,36,8,0,0,2,0,1,9,0,4,3
20200912LTSK0,20200912,LT,SK,T,L,24,125,29,5,1,0,0,0,3,2,1,2,1
20200913LTSK0,20200913,LT,SK,T,L,24,96,27,4,0,0,2,1,2,5,1,3,3
20200915LTWO0,20200915,LT,WO,T,W,27,190,38,11,1,0,0,0,8,7,1,5,5
20200917LTLG0,20200917,LT,LG,T,L,24,158,34,8,0,0,2,1,4,6,0,9,9
20200918LTLG0,20200918,LT,LG,T,W,27,146,34,7,1,0,1,1,4,6,0,3,3
20200919LTNC0,20200919,LT,NC,B,W,27,127,34,10,0,0,1,1,2,7,2,1,1
20200920LTNC1,20200920,LT,NC,B,L,27,154,37,13,0,0,2,1,4,8,0,6,6
20200920LTNC0,20200920,LT,NC,B,L,27,146,35,10,1,1,0,2,2,6,1,7,7
20200922LTKT0,20200922,LT,KT,B,W,27,122,28,2,0,0,0,0,2,10,0,0,0
20200923LTKT0,20200923,LT,KT,B,L,27,167,42,16,3,0,1,1,4,5,0,10,9
20200721NCSS0,20200721,NC,SS,B,W,30,182,36,9,0,0,1,3,4,7,2,5,5
20200724NCKT0,20200724,NC,KT,T,W,27,154,33,6,1,0,1,2,6,10,0,2,1
20200725NCKT0,20200725,NC,KT,T,L,24,141,29,8,4,0,1,0,4,9,2,6,6
20200726NCKT0,20200726,NC,KT,T,L,24,138,34,8,0,0,3,2,2,8,1,5,3
20200728NCLT0,20200728,NC,LT,T,L,27,168,36,14,3,0,2,0,8,6,1,11,11
20200731NCOB0,20200731,NC,OB,B,W,27,180,39,14,2,0,1,2,4,8,1,7,7
20200801NCOB0,20200801,NC,OB,B,L,30,186,45,17,2,1,0,2,4,9,1,12,11
20200802NCOB0,20200802,NC,OB,B,L,36,201,48,15,5,0,0,2,2,8,2,7,6
20200805NCHH0,20200805,NC,HH,T,L,24,158,33,12,2,0,1,0,7,5,2,8,7
20200806NCHH0,20200806,NC,HH,T,W,27,154,29,5,0,0,0,0,4,6,1,1,1
20200808NCHT0,20200808,NC,HT,T,L,24,122,28,4,1,0,1,0,0,9,0,3,3
20200809NCHT0,20200809,NC,HT,T,W,27,179,32,4,0,0,0,0,9,7,0,1,1
20200812NCLT0,20200812,NC,LT,T,L,24,148,33,13,3,0,1,0,6,4,1,8,8
20200813NCLT0,20200813,NC,LT,T,W,27,120,33,7,1,0,0,0,0,6,1,2,2
20200814NCLG0,20200814,NC,LG,B,L,27,206,43,18,2,1,4,0,5,6,1,10,10
20200815NCLG0,20200815,NC,LG,B,L,27,177,40,15,4,0,2,0,4,9,0,13,13
20200816NCLG0,20200816,NC,LG,B,L,27,163,32,7,0,0,2,0,8,3,1,6,3
20200818NCWO0,20200818,NC,WO,B,W,27,136,34,7,0,0,0,1,1,6,0,1,1
20200819NCWO0,20200819,NC,WO,B,L,27,152,35,8,3,0,1,1,5,5,1,6,5
20200820NCHT0,20200820,NC,HT,T,W,27,147,33,5,0,0,0,0,6,10,0,2,1
20200821NCHT0,20200821,NC,HT,T,W,27,149,34,9,0,0,2,1,3,5,0,4,4
20200823NCKT0,20200823,NC,KT,T,L,24,160,34,13,2,0,3,0,8,6,1,10,10
20200824NCKT0,20200824,NC,KT,T,L,24,158,37,14,1,0,1,1,4,9,0,8,8
20200825NCHH0,20200825,NC,HH,B,W,27,179,37,11,1,1,0,0,6,9,1,3,3
20200826NCHH0,20200826,NC,HH,B,W,27,156,34,7,1,0,1,0,5,8,2,5,5
20200827NCOB0,20200827,NC,OB,B,W,27,151,37,13,6,0,0,0,2,4,1,2,2
20200828NCOB0,20200828,NC,OB,B,L,27,197,46,18,1,0,4,0,6,4,0,11,11
20200829NCSK0,20200829,NC,SK,B,W,27,135,35,9,0,0,2,0,2,5,1,5,5
20200830NCSK0,20200830,NC,SK,B,W,27,132,33,7,1,0,3,0,3,7,0,4,4
20200901NCWO0,20200901,NC,WO,T,W,27,135,33,6,2,0,0,0,2,7,0,2,2
20200902NCWO0,20200902,NC,WO,T,L,24,164,31,7,2,0,0,1,10,7,0,6,5
20200903NCLG0,20200903,NC,LG,T,L,24,131,32,9,1,0,1,0,2,8,2,6,2
20200904NCLG0,20200904,NC,LG,T,D,36,222,46,13,3,1,0,2,9,14,1,5,5
20200906NCSS0,20200906,NC,SS,T,L,24,147,34,10,0,0,3,0,3,5,0,5,5
20200908NCLT0,20200908,NC,LT,B,W,27,149,33,6,1,0,0,1,5,6,0,2,2
20200909NCLT0,20200909,NC,LT,B,L,30,184,36,8,3,0,0,0,10,7,0,7,7
20200910NCKT0,20200910,NC,KT,B,W,27,126,32,8,0,1,4,0,4,7,1,8,8
20200911NCKT0,20200911,NC,KT,B,W,27,153,31,6,0,1,1,0,6,10,1,1,1
20200912NCHT0,20200912,NC,HT,B,L,27,188,40,14,5,0,2,0,8,2,0,11,10
20200913NCHT0,20200913,NC,HT,B,L,27,150,33,10,1,0,0,0,3,5,1,4,4
20200915NCOB0,20200915,NC,OB,T,L,24,128,30,8,3,0,0,0,4,3,0,7,5
20200916NCOB0,20200916,NC,OB,T,W,27,133,32,7,1,0,0,0,1,6,1,3,3
20200917NCSK0,20200917,NC,SK,T,W,27,124,30,4,0,0,0,1,2,11,0,0,0
20200918NCSK0,20200918,NC,SK,T,W,27,145,31,8,2,0,3,0,6,4,1,5,5
20200919NCLT0,20200919,NC,LT,T,L,24,167,30,7,1,0,2,0,8,8,1,5,5
20200920NCLT1,20200920,NC,LT,T,W,27,182,36,11,0,0,0,0,5,8,2,2,2
20200920NCLT0,20200920,NC,LT,T,W,27,148,35,8,1,0,1,0,3,9,1,2,1
20200922NCSS0,20200922,NC,SS,B,W,27,146,33,6,0,0,0,0,1,11,0,2,2
20200923NCSS0,20200923,NC,SS,B,W,27,143,36,10,2,1,1,2,2,11,0,7,7
20200721OBWO0,20200721,OB,WO,B,W,27,143,35,9,1,0,0,0,1,9,0,1,1
20200724OBLG0,20200724,OB,LG,B,L,27,170,40,15,2,1,2,1,6,3,1,8,8
20200725OBLG0,20200725,OB,LG,B,W,27,137,35,10,3,0,0,0,1,8,3,3,3
20200726OBLG0,20200726,OB,LG,B,L,27,139,33,7,0,1,0,2,2,8,1,4,2
20200728OBWO0,20200728,OB,WO,B,L,27,166,34,8,2,0,1,0,7,6,0,6,5
20200730OBWO0,20200730,OB,WO,B,L,27,139,34,13,2,0,1,2,4,2,2,8,8
20200731OBNC0,20200731,OB,NC,T,L,24,184,37,14,4,0,1,2,5,7,1,10,10
